address,borocode
68 BAY RIDGE PARKWAY,3
64 74 STREET,3
84 73 STREET,3
6830 NARROWS AVENUE,3
6803 OWLS HEAD COURT,3
78 72 STREET,3
73 72 STREET,3
58 71 STREET,3
53 71 STREET,3
44 MACKAY PLACE,3
6801 OWLS HEAD COURT,3
84 76 STREET,3
77 76 STREET,3
79 73 STREET,3
70 BAY RIDGE PARKWAY,3
6715 3 AVENUE,3
6828 NARROWS AVENUE,3
80 72 STREET,3
46 MACKAY PLACE,3
7007 NARROWS AVENUE,3
61 74 STREET,3
65 BAY RIDGE PARKWAY,3
55 71 STREET,3
89 77 STREET,3
75 72 STREET,3
6826 NARROWS AVENUE,3
68 74 STREET,3
81 73 STREET,3
7023 NARROWS AVENUE,3
81 76 STREET,3
88 73 STREET,3
62 71 STREET,3
86 76 STREET,3
72 BAY RIDGE PARKWAY,3
46A MACKAY PLACE,3
6822 NARROWS AVENUE,3
362 72 STREET,3
7019 NARROWS AVENUE,3
82 72 STREET,3
57 71 STREET,3
6713 3 AVENUE,3
7017 NARROWS AVENUE,3
6820 NARROWS AVENUE,3
7015 NARROWS AVENUE,3
83 73 STREET,3
77 72 STREET,3
71 STREET,3
67 BAY RIDGE PARKWAY,3
63 74 STREET,3
48 MACKAY PLACE,3
74 BAY RIDGE PARKWAY,3
7013 NARROWS AVENUE,3
6816 NARROWS AVENUE,3
7626 COLONIAL ROAD,3
70 74 STREET,3
64 71 STREET,3
83 76 STREET,3
84 72 STREET,3
7011 NARROWS AVENUE,3
6814 NARROWS AVENUE,3
7624 COLONIAL ROAD,3
88 76 STREET,3
90 73 STREET,3
7009 NARROWS AVENUE,3
7620 COLONIAL ROAD,3
50 MACKAY PLACE,3
6810 NARROWS AVENUE,3
85 73 STREET,3
7618 COLONIAL ROAD,3
76 BAY RIDGE PARKWAY,3
69 BAY RIDGE PARKWAY,3
79 72 STREET,3
7005 NARROWS AVENUE,3
6808 NARROWS AVENUE,3
7616 COLONIAL ROAD,3
85 76 STREET,3
67 74 STREET,3
86 72 STREET,3
66 71 STREET,3
61 71 STREET,3
54 MACKAY PLACE,3
7001 NARROWS AVENUE,3
74 74 STREET,3
7614 COLONIAL ROAD,3
6804 NARROWS AVENUE,3
87 73 STREET,3
7612 COLONIAL ROAD,3
78 BAY RIDGE PARKWAY,3
6802 NARROWS AVENUE,3
7610 COLONIAL ROAD,3
73 BAY RIDGE PARKWAY,3
88 72 STREET,3
94 73 STREET,3
83 72 STREET,3
7606 COLONIAL ROAD,3
87 76 STREET,3
63 71 STREET,3
89 73 STREET,3
68 71 STREET,3
80 BAY RIDGE PARKWAY,3
69 74 STREET,3
7604 COLONIAL ROAD,3
76 74 STREET,3
49 70 STREET,3
49 MACKAY PLACE,3
7602 COLONIAL ROAD,3
,3
75 BAY RIDGE PARKWAY,3
90 72 STREET,3
56 MACKAY PLACE,3
65 71 STREET,3
91 73 STREET,3
85 72 STREET,3
72 71 STREET,3
51 70 STREET,3
82 BAY RIDGE PARKWAY,3
98 73 STREET,3
58 MACKAY PLACE,3
6901 NARROWS AVENUE,3
73 74 STREET,3
92 72 STREET,3
91 76 STREET,3
80 74 STREET,3
77 BAY RIDGE PARKWAY,3
67 71 STREET,3
93 73 STREET,3
58A MACKAY PLACE,3
87 72 STREET,3
53 70 STREET,3
437 73 STREET,3
84 BAY RIDGE PARKWAY,3
62 70 STREET,3
94 72 STREET,3
74 71 STREET,3
60 MACKAY PLACE,3
102 73 STREET,3
57 MACKAY PLACE,3
95 76 STREET,3
79 BAY RIDGE PARKWAY,3
75 74 STREET,3
69 71 STREET,3
95 73 STREET,3
89 72 STREET,3
55 70 STREET,3
7512 COLONIAL ROAD,3
82 74 STREET,3
62 MACKAY PLACE,3
7508 COLONIAL ROAD,3
96 72 STREET,3
76 71 STREET,3
7506 COLONIAL ROAD,3
97 73 STREET,3
71 71 STREET,3
57 70 STREET,3
91 72 STREET,3
62A MACKAY PLACE,3
6833 NARROWS AVENUE,3
7502 COLONIAL ROAD,3
83 BAY RIDGE PARKWAY,3
84 74 STREET,3
79 74 STREET,3
99 76 STREET,3
106 73 STREET,3
98 72 STREET,3
78 71 STREET,3
56 BAY RIDGE AVENUE,3
6829 NARROWS AVENUE,3
64 MACKAY PLACE,3
66 70 STREET,3
99 73 STREET,3
93 72 STREET,3
59 70 STREET,3
6827 NARROWS AVENUE,3
66 MACKAY PLACE,3
446 73 STREET,3
86 74 STREET,3
100 72 STREET,3
6823 NARROWS AVENUE,3
75 71 STREET,3
80 71 STREET,3
61 MACKAY PLACE,3
